Project ID,Slurry,Biogas plant,pH,DM (%),TAN (g/l)
project.ID,slurry,biogas.plant,pH,DM,TAN
MAG,digested,1,8.05,10.51,2.81
MAG,digested,2,7.63,5.81,2.15
MAG,digested,3,7.87,6.74,1.01
MAG,digested,3,7.89,5.48,2.88
MAG,digested,4,8.24,7.25,4.38
MAG,digested,5,8.30,8.67,2.99
MAG,digested,6,8.21,11.23,2.43
MAG,digested,7,8.4,6.15,3.64
MAG,digested,8,7.94,6.02,2.02
MAG,digested,9,8.08,6.95,3.17
MAG,digested,10,7.82,6.54,3.86
MAG,digested,11,8.06,5.70,3.97
MAG,digested,12,7.89,8.75,2.39
MAG,digested,13,8.3,4.37,3.67
MAG,digested,14,7.92,6.74,4.18
MAG,digested,11,7.58,4.36,3.13
MAG,digested,15,8.29,7.85,2.35
MAG,digested,15,8.02,7.13,2.90
MAG,digested,15,7.93,6.69,2.44
MAG,digested,16,7.99,7.24,2.49
MAG,digested,17,7.98,5.39,2.93
MAG,digested,18,7.93,8.66,3.04
MAG,digested,19,7.96,6.13,2.34
CrisPhD,digested,16,7.98,8.03,2.65
CrisPhD,digested,20,7.98,7.27,2.55
CrisPhD,digested,21,7.86,9.15,2.4
CrisPhD,digested,2,8.49,5.57,2.55
CrisPhD,digested,4,8.03,9.07,2.38
CrisPhD,digested,22,8.00,8.97,3.63
CrisPhD,digested,23,8.21,7.21,3.35
CrisPhD,digested,15,7.81,8.06,2.75
